Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R63,470R 1/2W,R_1206_3216Metric,40.4475,101.346,180.0,bottom
R64,10k,R_0603_1608Metric,68.199,105.918,0.0,bottom
R65,470R 1/2W,R_1206_3216Metric,66.929,114.046,180.0,bottom
R66,10k,R_0603_1608Metric,73.279,105.156,0.0,bottom
R67,470R 1/2W,R_1206_3216Metric,74.549,114.046,0.0,bottom
R68,10k,R_0603_1608Metric,99.314,105.791,180.0,bottom
R69,470R 1/2W,R_1206_3216Metric,104.394,98.806,0.0,bottom
R70,10k,R_0603_1608Metric,124.714,105.791,180.0,bottom
R71,470R 1/2W,R_1206_3216Metric,129.794,99.441,0.0,bottom
R72,10k,R_0603_1608Metric,21.209,130.556,180.0,bottom
R73,470R 1/2W,R_1206_3216Metric,14.859,124.206,180.0,bottom
R74,10k,R_0603_1608Metric,45.339,130.556,180.0,bottom
R75,470R 1/2W,R_1206_3216Metric,38.354,124.206,180.0,bottom
R76,10k,R_0603_1608Metric,68.517,129.794,180.0,bottom
R77,470R 1/2W,R_1206_3216Metric,61.849,124.206,180.0,bottom
R78,10k,R_0603_1608Metric,73.152,129.286,180.0,bottom
R79,470R 1/2W,R_1206_3216Metric,79.629,124.206,0.0,bottom
R80,10k,R_0603_1608Metric,96.139,130.556,180.0,bottom
R81,470R 1/2W,R_1206_3216Metric,103.124,124.206,0.0,bottom
R82,10k,R_0603_1608Metric,120.269,130.556,180.0,bottom
R83,470R 1/2W,R_1206_3216Metric,127.254,124.206,0.0,bottom
R84,10k,R_0603_1608Metric,14.224,159.766,180.0,bottom
R85,470R 1/2W,R_1206_3216Metric,9.398,154.051,180.0,bottom
R86,10k,R_0603_1608Metric,40.259,159.766,180.0,bottom
R87,470R 1/2W,R_1206_3216Metric,35.052,154.051,180.0,bottom
R88,10k,R_0603_1608Metric,65.024,160.274,0.0,bottom
R89,470R 1/2W,R_1206_3216Metric,60.706,162.052,90.0,bottom
R90,10k,R_0603_1608Metric,76.708,160.296,0.0,bottom
R91,470R 1/2W,R_1206_3216Metric,80.264,163.83,90.0,bottom
R92,10k,R_0603_1608Metric,101.854,159.766,180.0,bottom
R93,470R 1/2W,R_1206_3216Metric,106.934,154.051,0.0,bottom
R94,10k,R_0603_1608Metric,127.254,159.766,180.0,bottom
R95,470R 1/2W,R_1206_3216Metric,132.334,154.051,0.0,bottom
R96,10k,R_0603_1608Metric,9.144,36.576,0.0,bottom
R97,10k,R_0603_1608Metric,35.179,37.211,0.0,bottom
R98,10k,R_0603_1608Metric,61.214,37.211,0.0,bottom
R99,10k,R_0603_1608Metric,80.264,37.211,180.0,bottom
R100,10k,R_0603_1608Metric,106.299,37.211,180.0,bottom
R101,10k,R_0603_1608Metric,132.969,37.211,180.0,bottom
R102,10k,R_0603_1608Metric,6.096,44.704,90.0,bottom
R103,10k,R_0603_1608Metric,30.226,45.466,90.0,bottom
R104,10k,R_0603_1608Metric,55.372,45.466,90.0,bottom
R105,10k,R_0603_1608Metric,81.343,44.958,180.0,bottom
R106,10k,R_0603_1608Metric,109.982,44.767,90.0,bottom
R107,10k,R_0603_1608Metric,130.302,44.704,180.0,bottom
R108,47k,R_0603_1608Metric,3.81,39.624,90.0,bottom
R109,10k,R_0603_1608Metric,19.304,92.456,0.0,bottom
R110,10k,R_0603_1608Metric,43.434,92.456,0.0,bottom
R111,10k,R_0603_1608Metric,59.944,92.456,0.0,bottom
R112,10k,R_0603_1608Metric,77.510709,90.424,180.0,bottom
R113,10k,R_0603_1608Metric,98.806,91.948,180.0,bottom
R114,10k,R_0603_1608Metric,122.809,92.964,180.0,bottom
R115,10k,R_0603_1608Metric,12.319,96.266,0.0,bottom
R116,10k,R_0603_1608Metric,33.274,99.06,90.0,bottom
R117,10k,R_0603_1608Metric,61.849,98.806,0.0,bottom
R118,10k,R_0603_1608Metric,80.264,98.552,180.0,bottom
R119,10k,R_0603_1608Metric,108.966,97.282,90.0,bottom
R120,10k,R_0603_1608Metric,129.794,96.901,180.0,bottom
R121,47k,R_0603_1608Metric,6.096,93.726,90.0,bottom
R122,10k,R_0603_1608Metric,19.304,147.066,0.0,bottom
R123,10k,R_0603_1608Metric,34.544,147.574,270.0,bottom
R124,10k,R_0603_1608Metric,58.674,147.574,270.0,bottom
R125,10k,R_0603_1608Metric,80.899,147.066,180.0,bottom
R126,10k,R_0603_1608Metric,98.679,147.066,180.0,bottom
R127,10k,R_0603_1608Metric,122.809,147.066,180.0,bottom
R128,10k,R_0603_1608Metric,8.509,151.511,0.0,bottom
R129,10k,R_0603_1608Metric,30.48,152.4,90.0,bottom
R130,10k,R_0603_1608Metric,57.912,152.654,90.0,bottom
R131,10k,R_0603_1608Metric,79.756,153.416,180.0,bottom
R132,10k,R_0603_1608Metric,110.998,152.4,90.0,bottom
R133,10k,R_0603_1608Metric,132.334,151.511,180.0,bottom
R134,47k,R_0603_1608Metric,5.334,149.352,90.0,bottom
R135,120R,R_0603_1608Metric,33.274,10.16,270.0,bottom
U1,AZ1117CH2-3.3,SOT-223,110.744,15.494,90.0,bottom
U2,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,71.838,7.366,270.0,bottom
U3,SP3485CN,SOIC-8_3.9x4.9mm_P1.27mm,38.354,10.16,0.0,bottom
U4,74HC595,TSSOP-16_4.4x5mm_P0.65mm,70.739,49.276,0.0,bottom
U5,74HC595,TSSOP-16_4.4x5mm_P0.65mm,70.739,23.876,0.0,bottom
U6,74HC595,TSSOP-16_4.4x5mm_P0.65mm,70.739,100.076,0.0,bottom
U7,74HC595,TSSOP-16_4.4x5mm_P0.65mm,70.866,67.818,0.0,bottom
U8,74HC595,TSSOP-16_4.4x5mm_P0.65mm,70.866,157.226,0.0,bottom
U9,74HC595,TSSOP-16_4.4x5mm_P0.65mm,70.739,119.126,0.0,bottom
U10,AT42QT2120-SU,TSSOP-20_4.4x6.5mm_P0.65mm,70.358,40.386,270.0,bottom
U11,AT42QT2120-SU,TSSOP-20_4.4x6.5mm_P0.65mm,70.739,90.678,270.0,bottom
U12,AT42QT2120-SU,TSSOP-20_4.4x6.5mm_P0.65mm,70.866,148.59,270.0,bottom
